"","alllocation","lon","lat"
"210","เซ็นทรัลแจ้งวัฒนะ",-86.1585817,38.0997912
"211","สุขุมวิท ซ.103",100.5801092,13.7279873
"212","บางใหญ่",98.7794429,10.2710152
"213","บิ๊กซีลาดพร้าว",NA,NA
"214","ลำลูกกาคลอง 4",100.6897349,13.9743888
"215","ลาดพร้าว ซ.128",100.6214179,13.786979
"216","ลาดพร้าว ซ.18",100.5781878,13.8011514
"217","รามอินทรา ซ.18",100.6928479,13.8130705
"218","เมเจอร์รังสิต",100.6166641,13.9870816
"219","สุขุมวิท ซ.107",100.5797391,13.7282672
"220","BTS กรุงธนบุรี",100.4814398,13.7171611
"221","เทศบาลรังสิต",100.6341355,13.98776
"222","ม.หอการค้า",100.554976,13.777388
"223","งามวงศ์วาน ซ.25",100.5386607,13.8624091
"224","แฟชั่นไอซ์แลนด์",100.6764819,13.8248997
"225","วัชรพล",100.6464678,13.8624145
"226","พระราม 5",100.5235391,13.7854095
"227","บางกรวย",100.4624937,13.8068972
"228","สุขุมวิท ซ.93",100.6296559,13.6597161
"229","โลตัสบางนา",100.6048034,13.6682906
"230","ลาดพร้าว ซ.94",100.615557,13.7765923
"231","คลองตัน",100.6602794,13.6268923
"232","รามอินทรา ซ.58",100.665327,13.8316502
"233","โชคชัย 4",100.646151,14.8215925
"234","รามอินทรา ซ.14",100.7321857,13.8001492
"235","สุขุมวิท ซ.71",100.5959404,13.7272025
"236","ฉะเชิงเทรา",101.0779596,13.6904194
"237","รัตนาธิเบศร์",100.4650157,13.8707273
"238","โลตัสบางใหญ่",100.4123356,13.8248989
"239","บางแวก",100.3799364,13.7444043
"240","รังสิตคลอง 2",100.6644859,14.0244121
"241","บางคูวัด",100.5158037,13.9583849
"242","สรงประภา",100.5825655,13.9332942
"243","ดาวคะนอง",100.4832171,13.7038115
"244","สุขสวัสดิ์ ซ.19",100.4904789,13.6764333
"245","สำเหร่",100.5087523,13.7211042
"246","อ้อมใหญ่",100.2567268,13.688929
"247","ม.ศรีปทุม",100.5844151,13.8549925
"248","สุวรรณภูมิ",100.7522662,13.6980931
"249","แยกบ้านแขก",100.4946678,13.7303728
"250","ลาดหญ้า",100.496914,13.7272856
"251","ดุสิต",100.3755088,13.7276701
"252","ราชเทวี",100.5315687,13.7516381
"253","รังสิต-นครนายก",100.9198538,14.0861947
"254","รังสิตนครนายก ซ.49",100.6513234,13.9984702
"255","รังสิตนครนายก",100.9198538,14.0861947
"256","พระนั่งเกล้า",NA,NA
"257","บางบัวทอง",100.4133581,13.9253961
"258","แคราย",100.3137013,13.6293869
"259","นครศรีธรรมราช",99.9631219,8.4303975
"260","ลาดสวาย",100.6867022,13.9328092
"261","ตลาดเอซี",100.4918209,13.7071117
"262","หัวเฉียว",100.514426,13.7499826
"263","อ่อนนุช ซ.44",100.630509,13.7032472
"264","นวมินทร ซ.94",100.6613779,13.8309118
"265","ลาดพร้าว ซ.81",100.6210885,13.7872129
"266","พงษ์เพชร",100.5442264,13.8524619
"267","แมคโครท่าพระ",100.4700412,13.7620727
"268","รังสิต-นครนายก ซ.49",100.6513234,13.9984702
"269","สุขุมวิท ซ.77",100.5958632,13.7147194
"270","อ่อนนุช ซ.10",100.696431,13.7445277
"271","พหลโยธิน",100.9051382,14.540559
"272","กรมป่าไม้",100.5804726,13.8482306
"273","ลาดพร้าว ซ.9",100.6012127,13.8180375
"274","งามวงศ์วาน ซ.27",100.5395687,13.8613975
"275","โลตัสเลียบทางด่วนรามอินทรา",NA,NA
"276","เรวดี",100.6274501,13.7973471
"277","อรุณอมรินทร์",100.4834458,13.7506189
"278","ประชาราษฎ์บำเพ็ญ",100.5760456,13.778416
"279","ประชาราษฎ์บำเพ็ญ ซ.26",100.5886308,13.7813438
"280","วัดกำแพง",100.5052845,13.8321691
"281","คริสตัลเพลส",NA,NA
"282","Airport Link",153.0335264,-27.4238572
"283","ม.รังสิต",100.5861424,13.9656101
"284","แจ้งวัฒนะ-ปากเกร็ด",100.5297936,13.9089067
"285","นครชัยศรี",100.1979459,13.7921746
"286","สุพรรณบุรี",100.1177128,14.4744892
"287","นครปฐม",100.0372929,13.8140293
"288","ราชบุรี",99.8134211,13.5282893
"289","นครนายก",101.2130511,14.2069466
"290","กาญจนบุรี",99.5328115,14.0227797
"291","รัชดา ซ.48",102.8621005,16.4066663
"292","รัชโยธิน",100.610878,13.8202543
